contract_id,contract_version,symbol,trading_date,leg,reference_session,reference_valid,reason_code,efficiency_ratio,session_type,sweep_evaluated,sweep_qualified,setup_type,entry_engine,direction,entry_status,ticket_status,fill_status,result_status,sweep_candidate_index,sweep_candidate_time,sweep_side,sweep_prior_level,sweep_extreme,sweep_close
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-10,POST_LONDON,LONDON,True,CLASSIFIED,0.16210214655810137,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-10T07:45:00+00:00,LOW,0.97043,0.96992,0.97069
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-11,POST_ASIAN,ASIAN,True,CLASSIFIED,0.0741206030150731,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-11T00:30:00+00:00,HIGH,0.972,0.97223,0.97179
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-11,POST_LONDON,LONDON,True,CLASSIFIED,0.22467532467532794,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-11T07:30:00+00:00,HIGH,0.9718,0.97249,0.9713
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-12,POST_ASIAN,ASIAN,True,CLASSIFIED,0.04585987261146087,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-12T00:45:00+00:00,HIGH,0.97043,0.97104,0.97031
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-12,POST_LONDON,LONDON,True,CLASSIFIED,0.13900414937759445,RANGE,True,False,RANGE,ENTRY_3,,RANGE_ENTRY_IMPLEMENTATION_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,,,,,,
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-13,POST_ASIAN,ASIAN,True,CLASSIFIED,0.007017543859646424,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,9,2022-10-13T02:15:00+00:00,LOW,0.96977,0.96962,0.97013
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-13,POST_LONDON,LONDON,True,CLASSIFIED,0.4337539432176722,TREND,False,,TREND,ENTRY_1,LONG,ENTRY_1_CONTRACT_INCOMPLETE,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,,,,,,
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-14,POST_ASIAN,ASIAN,True,CLASSIFIED,0.00517464424321337,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-14T00:15:00+00:00,LOW,0.97652,0.97617,0.97682
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-14,POST_LONDON,LONDON,True,CLASSIFIED,0.43197492163008844,TREND,False,,TREND,ENTRY_1,SHORT,ENTRY_1_CONTRACT_INCOMPLETE,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,,,,,,
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-17,POST_ASIAN,ASIAN,True,CLASSIFIED,0.059870550161818095,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-17T00:45:00+00:00,HIGH,0.97499,0.97507,0.97456
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-17,POST_LONDON,LONDON,True,CLASSIFIED,0.06425992779783199,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-17T07:30:00+00:00,HIGH,0.97539,0.97571,0.97527
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-18,POST_ASIAN,ASIAN,True,CLASSIFIED,0.10238429172510362,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-18T00:15:00+00:00,LOW,0.98432,0.98403,0.98456
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-18,POST_LONDON,LONDON,True,CLASSIFIED,0.22678185745140358,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,14,2022-10-18T10:30:00+00:00,LOW,0.98246,0.9824,0.98251
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-19,POST_ASIAN,ASIAN,True,CLASSIFIED,0.27142857142855575,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-19T00:15:00+00:00,LOW,0.98561,0.98533,0.98563
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-19,POST_LONDON,LONDON,True,CLASSIFIED,0.2255072463768088,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,1,2022-10-19T07:15:00+00:00,HIGH,0.98293,0.98298,0.98245
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-20,POST_ASIAN,ASIAN,True,CLASSIFIED,0.16216216216216037,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-20T00:30:00+00:00,HIGH,0.97699,0.97718,0.97619
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-20,POST_LONDON,LONDON,True,CLASSIFIED,0.1478514202476238,RANGE,True,True,SWEEP,ENTRY_2,SHORT,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,3,2022-10-20T07:45:00+00:00,HIGH,0.97946,0.97947,0.97868
SESSION_FLOW_V2_SIMPLE,2.1-simple,EURUSD,2022-10-21,POST_ASIAN,ASIAN,True,CLASSIFIED,0.08387096774194126,RANGE,True,True,SWEEP,ENTRY_2,LONG,SWEEP_ENTRY_SPEC_BLOCKED,NOT_AUTHORIZED,NOT_AUTHORIZED,NOT_CALCULATED,2,2022-10-21T00:30:00+00:00,LOW,0.97686,0.97679,0.97733
