SINGLE-DAY EXECUTION TRACE — EURUSD M15 — 2022-10-07
Data inspection window: 2022-10-06 22:00 UTC to 2022-10-07 23:45 UTC
07:00 LOCK | Asian High=0.98118 Low=0.97657 Range=46.1 pips SL distance=11.5 pips Close=0.97816
Session type=RANGE | Momentum filter disabled=False | Bias=BEARISH | New-entry cutoff=16:00 UTC
[37] 2022-10-07 16:15 UTC | O=0.97796 H=0.97819 L=0.97648 C=0.97652 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=True

[38] 2022-10-07 16:30 UTC | O=0.97651 H=0.97656 L=0.97574 C=0.97615 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[39] 2022-10-07 16:45 UTC | O=0.97616 H=0.97637 L=0.97554 C=0.97610 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[40] 2022-10-07 17:00 UTC | O=0.97611 H=0.97627 L=0.97575 C=0.97625 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[41] 2022-10-07 17:15 UTC | O=0.97625 H=0.97682 L=0.97618 C=0.97670 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=True high_sweep=False close_sweep_low=False close_sweep_high=False

[42] 2022-10-07 17:30 UTC | O=0.97668 H=0.97694 L=0.97618 C=0.97670 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=True high_sweep=False close_sweep_low=False close_sweep_high=False

[43] 2022-10-07 17:45 UTC | O=0.97669 H=0.97669 L=0.97560 C=0.97569 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[44] 2022-10-07 18:00 UTC | O=0.97569 H=0.97632 L=0.97551 C=0.97621 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[45] 2022-10-07 18:15 UTC | O=0.97623 H=0.97625 L=0.97480 C=0.97481 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[46] 2022-10-07 18:30 UTC | O=0.97482 H=0.97505 L=0.97428 C=0.97429 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[47] 2022-10-07 18:45 UTC | O=0.97428 H=0.97441 L=0.97340 C=0.97354 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[48] 2022-10-07 19:00 UTC | O=0.97353 H=0.97388 L=0.97331 C=0.97333 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[49] 2022-10-07 19:15 UTC | O=0.97332 H=0.97352 L=0.97307 C=0.97321 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[50] 2022-10-07 19:30 UTC | O=0.97321 H=0.97387 L=0.97307 C=0.97370 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[51] 2022-10-07 19:45 UTC | O=0.97371 H=0.97398 L=0.97339 C=0.97385 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[52] 2022-10-07 20:00 UTC | O=0.97385 H=0.97399 L=0.97364 C=0.97381 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[53] 2022-10-07 20:15 UTC | O=0.97378 H=0.97402 L=0.97364 C=0.97388 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[54] 2022-10-07 20:30 UTC | O=0.97385 H=0.97422 L=0.97384 C=0.97388 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[55] 2022-10-07 20:45 UTC | O=0.97389 H=0.97389 L=0.97348 C=0.97381 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False
