timestamp,open,high,low,close,volume,spread
2026-03-05 05:30:00,157.06,157.133,157.039,157.045,1508,2
2026-03-05 05:45:00,157.044,157.216,157.021,157.191,1475,2
2026-03-05 06:00:00,157.192,157.244,157.149,157.225,1877,2
2026-03-05 06:15:00,157.223,157.252,157.158,157.165,1362,2
2026-03-05 06:30:00,157.169,157.193,157.06,157.09,1513,2
2026-03-05 06:45:00,157.09,157.122,156.958,157.041,1973,2
2026-03-05 07:00:00,157.037,157.127,156.997,157.086,1597,2
2026-03-05 07:15:00,157.088,157.111,156.961,157.043,1335,2
2026-03-05 07:30:00,157.043,157.116,157.033,157.107,1260,2
2026-03-05 07:45:00,157.108,157.292,157.108,157.26,1345,2
2026-03-05 08:00:00,157.26,157.376,157.252,157.319,1770,2
2026-03-05 08:15:00,157.319,157.355,157.277,157.316,1377,2
2026-03-05 08:30:00,157.316,157.316,157.169,157.208,1355,2
2026-03-05 08:45:00,157.207,157.338,157.204,157.275,1453,2
2026-03-05 09:00:00,157.274,157.31,156.903,156.928,2415,2
2026-03-05 09:15:00,156.928,157.05,156.901,157.006,2403,2
2026-03-05 09:30:00,157.005,157.154,157.004,157.141,2078,2
2026-03-05 09:45:00,157.141,157.195,157.125,157.157,1651,2
2026-03-05 10:00:00,157.154,157.195,157.106,157.184,1504,2
2026-03-05 10:15:00,157.183,157.199,157.152,157.171,1246,2
2026-03-05 10:30:00,157.171,157.297,157.161,157.293,1230,2
2026-03-05 10:45:00,157.292,157.297,157.259,157.294,971,2
2026-03-05 11:00:00,157.293,157.346,157.242,157.282,1261,2
2026-03-05 11:15:00,157.282,157.354,157.242,157.318,1073,2
2026-03-05 11:30:00,157.317,157.365,157.299,157.358,1054,2
2026-03-05 11:45:00,157.358,157.365,157.308,157.348,1013,2
2026-03-05 12:00:00,157.35,157.412,157.342,157.409,1124,2
2026-03-05 12:15:00,157.411,157.415,157.285,157.388,1311,2
2026-03-05 12:30:00,157.389,157.431,157.34,157.429,1311,2
2026-03-05 12:45:00,157.43,157.5,157.419,157.442,1367,2
2026-03-05 13:00:00,157.442,157.54,157.432,157.516,1442,2
2026-03-05 13:15:00,157.517,157.588,157.469,157.566,1495,2
2026-03-05 13:30:00,157.56,157.725,157.554,157.719,1716,2
2026-03-05 13:45:00,157.719,157.781,157.701,157.763,1514,2
2026-03-05 14:00:00,157.765,157.775,157.587,157.738,1645,2
2026-03-05 14:15:00,157.738,157.768,157.678,157.682,1392,2
2026-03-05 14:30:00,157.682,157.701,157.612,157.629,1762,2
2026-03-05 14:45:00,157.628,157.67,157.527,157.566,1743,2
2026-03-05 15:00:00,157.565,157.593,157.394,157.561,1935,2
2026-03-05 15:15:00,157.565,157.691,157.553,157.682,1619,2
2026-03-05 15:30:00,157.682,157.757,157.656,157.747,1589,2
