SINGLE-DAY EXECUTION TRACE — EURUSD M15 — 2023-02-15
Data inspection window: 2023-02-14 22:00 UTC to 2023-02-15 23:45 UTC
07:00 LOCK | Asian High=1.07445 Low=1.07000 Range=44.5 pips SL distance=11.1 pips Close=1.07082
Session type=RANGE | Momentum filter disabled=False | Bias=BEARISH | M15 structure=NEUTRAL | New-entry cutoff=18:00 UTC | Entry mode=limit

[38] 2023-02-15 16:30 UTC | O=1.06666 H=1.06685 L=1.06619 C=1.06675 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[39] 2023-02-15 16:45 UTC | O=1.06676 H=1.06697 L=1.06650 C=1.06669 | GATES circuit=OPEN cooldown=CLEAR spread=0.70p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[40] 2023-02-15 17:00 UTC | O=1.06669 H=1.06699 L=1.06606 C=1.06694 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[41] 2023-02-15 17:15 UTC | O=1.06694 H=1.06747 L=1.06676 C=1.06734 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[42] 2023-02-15 17:30 UTC | O=1.06736 H=1.06751 L=1.06674 C=1.06740 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[43] 2023-02-15 17:45 UTC | O=1.06740 H=1.06783 L=1.06739 C=1.06758 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[44] 2023-02-15 18:00 UTC | O=1.06758 H=1.06833 L=1.06755 C=1.06830 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[45] 2023-02-15 18:15 UTC | O=1.06830 H=1.06854 L=1.06817 C=1.06850 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[46] 2023-02-15 18:30 UTC | O=1.06850 H=1.06863 L=1.06836 C=1.06842 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[47] 2023-02-15 18:45 UTC | O=1.06843 H=1.06845 L=1.06788 C=1.06809 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[48] 2023-02-15 19:00 UTC | O=1.06812 H=1.06838 L=1.06812 C=1.06815 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[49] 2023-02-15 19:15 UTC | O=1.06814 H=1.06826 L=1.06797 C=1.06821 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[50] 2023-02-15 19:30 UTC | O=1.06820 H=1.06841 L=1.06814 C=1.06839 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[51] 2023-02-15 19:45 UTC | O=1.06838 H=1.06903 L=1.06836 C=1.06903 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[52] 2023-02-15 20:00 UTC | O=1.06902 H=1.06904 L=1.06878 C=1.06898 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[53] 2023-02-15 20:15 UTC | O=1.06898 H=1.06915 L=1.06891 C=1.06900 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[54] 2023-02-15 20:30 UTC | O=1.06900 H=1.06905 L=1.06873 C=1.06886 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[55] 2023-02-15 20:45 UTC | O=1.06885 H=1.06887 L=1.06864 C=1.06864 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[56] 2023-02-15 21:00 UTC | O=1.06862 H=1.06898 L=1.06861 C=1.06898 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[57] 2023-02-15 21:15 UTC | O=1.06898 H=1.06898 L=1.06874 C=1.06875 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[58] 2023-02-15 21:30 UTC | O=1.06887 H=1.06897 L=1.06855 C=1.06895 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False

[59] 2023-02-15 21:45 UTC | O=1.06895 H=1.06899 L=1.06796 C=1.06884 | GATES circuit=OPEN cooldown=CLEAR spread=1.20p(model) | SIGNAL low_sweep=False high_sweep=False close_sweep_low=False close_sweep_high=False
